date,units_sold,unit_price,cost,daily_revenue,product_type,style,customer_segment,channel,ad_spend
2023-08-12 00:00:00,8,49.73,22.3,397.84,Dress,Sport,Premium,Online,89.68
2023-01-05 00:00:00,2,146.41,80.1,292.82,Jacket,Casual,Budget,Online,77.6
2024-02-21 00:00:00,17,82.99,44.94,1410.83,Jacket,Sport,Mid,Online,56.39
2024-01-13 00:00:00,12,14.07,11.4,168.84,Dress,Formal,Premium,Online,58.14
2024-06-09 00:00:00,7,149.54,66.89,1046.78,Dress,Sport,Premium,In-store,20.71
2023-01-09 00:00:00,11,140.86,79.86,1549.46,Pants,Sport,Mid,Online,77.33
2024-02-14 00:00:00,11,127.86,70.8,1406.46,Shirt,Casual,Mid,In-store,5.57
2023-01-08 00:00:00,3,34.33,15.53,102.99,Dress,Sport,Budget,Online,28.95
2023-12-08 00:00:00,9,98.23,71.08,884.07,Jacket,Formal,Mid,Online,82.38
2023-01-19 00:00:00,19,38.74,16.84,736.06,Shirt,Casual,Premium,Online,73.73
2024-07-27 00:00:00,17,107.15,43.2,1821.55,Shirt,Formal,Mid,Online,54.66
2024-12-27 00:00:00,6,140.48,96.6,842.88,Pants,Formal,Mid,In-store,60.25
2024-06-01 00:00:00,7,57.64,43.46,403.48,Dress,Formal,Budget,In-store,96.12
2024-02-09 00:00:00,20,87.25,67.99,1745,Dress,Sport,Mid,Online,29.69
2023-04-20 00:00:00,12,80.35,52.63,964.2,Jacket,Sport,Mid,Online,47.76
2023-12-24 00:00:00,12,44.05,22.61,528.6,Dress,Casual,Budget,In-store,52.16
2023-09-08 00:00:00,4,91.21,69.75,364.84,Jacket,Formal,Mid,Online,79.6
2023-06-29 00:00:00,14,11.58,8.64,162.12,Dress,Formal,Premium,In-store,84.95
2023-10-08 00:00:00,2,69.53,28.93,139.06,Shirt,Formal,Mid,Online,94.09
2023-06-12 00:00:00,10,21.77,11.88,217.7,Jacket,Sport,Mid,Online,95.68
2024-06-08 00:00:00,15,83.09,54.08,1246.35,Pants,Sport,Mid,In-store,87.89
2023-09-12 00:00:00,18,79.11,53.27,1423.98,Shirt,Casual,Budget,In-store,31.92
2023-07-04 00:00:00,9,29.24,20.41,263.16,Shirt,Sport,Premium,Online,14.93
2023-03-29 00:00:00,20,108.22,58.74,2164.4,Pants,Formal,Premium,Online,57.15
2024-08-29 00:00:00,14,107.98,70.25,1511.72,Pants,Casual,Premium,In-store,11.31
2023-03-13 00:00:00,19,12.9,10.4,245.1,Dress,Sport,Premium,Online,30.27
2024-12-23 00:00:00,6,79.11,33.61,474.66,Dress,Sport,Premium,Online,63.4
2023-03-10 00:00:00,12,69.6,54.52,835.2,Dress,Casual,Mid,Online,32.07
2024-08-20 00:00:00,8,81.17,33.54,649.36,Pants,Casual,Budget,Online,90.21
2024-12-16 00:00:00,2,24.43,14.94,48.86,Jacket,Sport,Premium,In-store,66.4
2023-05-06 00:00:00,9,17.89,14.8,161.01,Shirt,Formal,Budget,In-store,34.8
2024-12-14 00:00:00,15,103.84,86.66,1557.6,Jacket,Sport,Premium,Online,19.81
2024-08-19 00:00:00,7,114.27,45.87,799.89,Dress,Sport,Budget,Online,61.89
2023-05-11 00:00:00,2,117.83,62.19,235.66,Dress,Casual,Mid,In-store,40.99
2023-12-08 00:00:00,14,87.73,51.69,1228.22,Jacket,Casual,Premium,Online,74.82
2024-02-03 00:00:00,1,127.92,83.17,127.92,Jacket,Casual,Premium,In-store,94.67
2024-05-19 00:00:00,19,100.18,53.97,1903.42,Dress,Formal,Mid,In-store,61.32
2024-10-30 00:00:00,6,97.73,63,586.38,Pants,Formal,Mid,Online,46.17
2024-09-04 00:00:00,20,66.84,31.2,1336.8,Pants,Formal,Mid,In-store,92.11
2024-01-27 00:00:00,11,10.55,8.13,116.05,Shirt,Sport,Mid,Online,71.53
2024-11-29 00:00:00,4,138.45,97.75,553.8,Dress,Formal,Mid,Online,47.54
2023-08-10 00:00:00,13,105.06,88.78,1365.78,Pants,Casual,Mid,Online,66.43
2024-05-30 00:00:00,14,19.41,15.54,271.74,Pants,Sport,Mid,Online,76.94
2024-05-12 00:00:00,4,28.93,19.28,115.72,Shirt,Casual,Premium,Online,60.77
2023-05-27 00:00:00,14,74.94,31.58,1049.16,Shirt,Formal,Premium,Online,80.86
2023-07-19 00:00:00,10,115.18,63.01,1151.8,Jacket,Sport,Mid,In-store,11.48
2024-10-30 00:00:00,14,11.24,6.88,157.36,Shirt,Casual,Budget,Online,39.56
2024-01-24 00:00:00,3,105.1,76.57,315.3,Pants,Sport,Premium,In-store,30.25
2024-11-14 00:00:00,14,64.48,33.5,902.72,Dress,Sport,Budget,Online,87.01
2023-03-21 00:00:00,20,99.77,63.06,1995.4,Jacket,Sport,Premium,In-store,18.76
2023-04-30 00:00:00,9,77.87,42.59,700.83,Pants,Sport,Premium,Online,58.04
2024-11-05 00:00:00,10,75.74,52.41,757.4,Pants,Casual,Premium,Online,57.39
